Epoch,Train Loss,Seg Loss,Cls Loss,Val Loss,Val Dice,Val IOU,Acc,Precision,Recall,F1
1,0.9226480722427368,0.37886514981587727,0.5437829240163168,0.8125783599881683,0.5098235104194635,0.4004410832878228,0.7784810126582279,0.9477124183006536,0.5991735537190083,0.7341772151898734
2,0.7202850248416265,0.2852155508597692,0.43506947308778765,0.5444359769298055,0.5126275449525055,0.4017014941214656,0.8839662447257384,0.8666666666666667,0.9132231404958677,0.8893360160965795
3,0.6436302041014036,0.2466467273235321,0.3969834754864375,0.5557573079308377,0.5631275724889842,0.4296093778489289,0.8481012658227848,0.791095890410959,0.9545454545454546,0.8651685393258427
4,0.5517314085364342,0.2216384463508924,0.3300929595033328,0.5079111953576406,0.4661022806936826,0.3601583566372486,0.9029535864978903,0.9803921568627451,0.8264462809917356,0.8968609865470852
5,0.5103612275918324,0.20686906427145005,0.3034921633203824,0.3788992679571804,0.552300135613292,0.43149230860533533,0.9367088607594937,0.9732142857142857,0.9008264462809917,0.9356223175965666
6,0.4879991145928701,0.19555951913197836,0.2924395950635274,0.4082757923201921,0.5081441179178474,0.3995261723775779,0.9135021097046413,0.9631336405529954,0.8636363636363636,0.9106753812636166
7,0.4656721846262614,0.18742079208294551,0.2782513902584712,0.3573623397053546,0.47749442986045126,0.3713600936311539,0.9409282700421941,0.9349593495934959,0.9504132231404959,0.9426229508196722
8,0.4220168326298396,0.1808325167496999,0.24118431607882182,0.36617186744127594,0.5273600441023529,0.4163900377867333,0.9282700421940928,0.916,0.9462809917355371,0.9308943089430894
9,0.43750751654307046,0.17835097913940748,0.2591565378506978,0.3926669766316937,0.5124124672708188,0.3953950163731748,0.9177215189873418,0.9432314410480349,0.8925619834710744,0.9171974522292994
10,0.4213523424665133,0.1710910154382388,0.25026132732629774,0.307954286897107,0.5410270200600974,0.42040832011020307,0.9472573839662447,0.9865470852017937,0.9090909090909091,0.946236559139785
11,0.37526212324698766,0.1629921764632066,0.21226994593938192,0.3221691323263484,0.43584180411470563,0.32829021194695257,0.9367088607594937,0.9907407407407407,0.8842975206611571,0.9344978165938864
12,0.38142305115858716,0.16469360776245595,0.2167294422785441,0.3006217554525987,0.5335139728126116,0.40441701183193357,0.9514767932489452,0.9397590361445783,0.9669421487603306,0.9531568228105907
13,0.38140544046958286,0.15943511712054412,0.22197032431761424,0.3219894957630443,0.4457940078790209,0.3363271092058457,0.9261603375527426,0.8905660377358491,0.9752066115702479,0.9309664694280079
14,0.3597041995326678,0.15768940481046836,0.20201479494571686,0.2711026227801158,0.522470900312078,0.40017476585731715,0.9620253164556962,0.9666666666666667,0.9586776859504132,0.9626556016597511
15,0.36349837432305016,0.15657711500922838,0.2069212594628334,0.3386728549454723,0.5165837956627487,0.41419354566568173,0.9135021097046413,0.971830985915493,0.8553719008264463,0.9098901098901099
16,0.3506328410903613,0.1568381479382515,0.19379469245672226,0.2806798782403962,0.49717370654939136,0.3893097243177926,0.9556962025316456,0.9437751004016064,0.9710743801652892,0.9572301425661914
17,0.3283065603673458,0.1512795123209556,0.17702704777320227,0.3392895520802289,0.5443042167627418,0.4322583278529628,0.9240506329113924,0.8872180451127819,0.9752066115702479,0.9291338582677166
18,0.31506635775168734,0.14711680432160695,0.16794955283403395,0.27106688355924835,0.5270196889416697,0.4186442885068784,0.9535864978902954,0.9545454545454546,0.9545454545454546,0.9545454545454546
19,0.30501725832621257,0.14811069816350936,0.15690656155347824,0.37378275241184084,0.5788882995063128,0.4499314532983893,0.8987341772151899,1.0,0.8016528925619835,0.8899082568807339
20,0.2692784833908081,0.14377095863223077,0.12550752570231755,0.2609549336811284,0.5314263261917697,0.3933112828744914,0.9662447257383966,0.9788135593220338,0.9545454545454546,0.9665271966527197
21,0.26718395213286084,0.1501504906018575,0.11703346063693365,0.31208019700482925,0.4829029318699721,0.380061826663607,0.9261603375527426,0.9813953488372092,0.871900826446281,0.9234135667396062
22,0.28407647053400675,0.14067487254738809,0.1434015965461731,0.2939012520926914,0.5328305315851145,0.41576132082885486,0.9240506329113924,0.9364406779661016,0.9132231404958677,0.9246861924686193
23,0.2964933146039645,0.13848718186219533,0.1580061321457227,0.20968354771204512,0.6269190395303503,0.4999305711801287,0.9620253164556962,0.9786324786324786,0.9462809917355371,0.9621848739495799
24,0.2945748289426168,0.13780781057973704,0.15676701794068018,0.22370309345935027,0.6250298388324348,0.4938752132800389,0.9662447257383966,0.952,0.9834710743801653,0.967479674796748
25,0.26887614026665685,0.13794350139796735,0.13093263973792393,0.18688462220352411,0.5907979318667635,0.47152867361381706,0.9852320675105485,1.0,0.9710743801652892,0.9853249475890985
26,0.2541758841276169,0.13816696827610334,0.11600891530513763,0.2664108901709035,0.5441429065293628,0.43419622465983604,0.9472573839662447,0.9909502262443439,0.9049586776859504,0.9460043196544277
27,0.23823454248408477,0.13339392642180126,0.10484061678250631,0.1888831931909051,0.609644708694256,0.4887828161523855,0.9789029535864979,0.9754098360655737,0.9834710743801653,0.9794238683127572
28,0.23637409828603267,0.13290159395585457,0.10347250481446583,0.19167591178719,0.577837134815765,0.45834550998797735,0.9789029535864979,0.9754098360655737,0.9834710743801653,0.9794238683127572
29,0.2624814094603062,0.13486582728723684,0.1276155824462573,0.22302006493923784,0.6349237186233487,0.49864385041299336,0.9683544303797469,0.9956331877729258,0.9421487603305785,0.9681528662420382
30,0.20329974306126436,0.12349501566340526,0.07980472713708878,0.15895359746262996,0.6796422367324229,0.5490256521880423,0.9831223628691983,0.9834710743801653,0.9834710743801653,0.9834710743801653
